City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,barrow,71.2906,-156.7887,-19.99,77,20,5.14,US,1681355123
1,arraial do cabo,-22.9661,-42.0278,23.99,87,96,7.81,BR,1681355123
2,bluff,-46.6,168.3333,11.56,78,86,9.39,NZ,1681355094
3,punta arenas,-53.15,-70.9167,2.84,75,0,3.09,CL,1681355088
4,saint-philippe,-21.3585,55.7679,24.77,82,15,0.83,RE,1681355124
5,rikitea,-23.1203,-134.9692,25.38,69,78,4.75,PF,1681355124
6,antofagasta,-23.65,-70.4,18.6,77,29,1.84,CL,1681354661
7,salalah,17.0151,54.0924,27.05,78,40,1.03,OM,1681354559
8,hilo,19.7297,-155.09,24.04,94,97,0.89,US,1681354981
9,jamestown,42.097,-79.2353,18.8,52,0,4.12,US,1681354833
10,heiligenhafen,54.3667,10.9833,4.86,92,43,4.09,DE,1681355126
11,polson,47.6936,-114.1632,5.12,52,100,0.96,US,1681355127
12,georgetown,5.4112,100.3354,31.96,70,20,2.57,MY,1681355127
13,ancud,-41.8697,-73.8203,10.42,78,100,2.62,CL,1681355082
14,rudbar,30.15,62.6,27.49,14,0,2.63,AF,1681355128
15,albany,42.6001,-73.9662,17.67,58,1,0.89,US,1681355086
16,busselton,-33.65,115.3333,17.32,87,56,8.21,AU,1681355129
17,nikolskoye,59.7035,30.7861,3.94,85,99,4.16,RU,1681355129
18,mount gambier,-37.8333,140.7667,20.31,63,29,2.68,AU,1681354579
19,castro,-24.7911,-50.0119,15.62,87,9,1.42,BR,1681355083
20,san cristobal,7.7669,-72.225,23.1,97,100,0.88,VE,1681355130
21,dunedin,-45.8742,170.5036,12.67,88,100,2.24,NZ,1681354956
22,beloha,-25.1667,45.05,20.27,93,33,2.31,MG,1681355132
23,vaini,-21.2,-175.2,30.09,70,75,5.14,TO,1681355098
24,mahebourg,-20.4081,57.7,24.03,84,8,1.94,MU,1681355133
25,east london,-33.0153,27.9116,18.14,50,69,2.02,ZA,1681354835
26,pevek,69.7008,170.3133,-17.37,82,99,0.51,RU,1681355134
27,mataura,-46.1927,168.8643,11.38,78,94,3.86,NZ,1681355082
28,filadelfia,39.9523,-75.1638,23.67,46,0,4.12,US,1681355066
29,ushuaia,-54.8,-68.3,5.81,65,100,6.69,AR,1681355080
30,vire,48.9167,-0.8333,6.66,90,88,6.4,FR,1681355135
31,tuatapere,-46.1333,167.6833,14.47,77,81,4.12,NZ,1681355040
32,gobabis,-22.45,18.9667,18.64,28,60,2.17,NA,1681355135
33,zaraza,9.3503,-65.3245,25.52,69,99,4.0,VE,1681355136
34,vestmannaeyjar,63.4427,-20.2734,5.93,66,22,4.36,IS,1681354578
35,avarua,-21.2078,-159.775,27.03,69,20,3.6,CK,1681355136
36,clyde river,70.4692,-68.5914,-14.87,78,100,11.32,CA,1681355137
37,rehoboth,-23.3167,17.0833,17.05,40,0,3.02,NA,1681355137
38,chapais,49.7834,-74.8492,-3.12,97,13,1.18,CA,1681354681
39,kloulklubed,7.0419,134.2556,28.73,76,22,3.73,PW,1681354917
40,kahului,20.8947,-156.47,27.01,64,40,8.75,US,1681354431
41,ilulissat,69.2167,-51.1,-5.99,100,100,0.0,GL,1681354957
42,kondinskoye,59.6481,67.41,-5.61,93,100,6.47,RU,1681355138
43,burgeo,47.6167,-57.6152,3.45,88,100,5.27,CA,1681355139
44,moree,-29.4667,149.85,23.29,35,0,7.51,AU,1681354644
45,butaritari,3.0707,172.7902,27.73,72,72,3.61,KI,1681355139
46,mar del plata,-38.0023,-57.5575,11.72,90,20,2.57,AR,1681354860
47,cabedelo,-6.9811,-34.8339,25.37,84,61,4.54,BR,1681354666
48,yellowknife,62.456,-114.3525,-2.71,74,20,3.09,CA,1681354851
49,dicabisagan,17.0818,122.4157,29.23,68,100,1.82,PH,1681355140
50,kruisfontein,-34.0033,24.7314,12.02,75,18,2.54,ZA,1681355141
51,santa rosa,14.3122,121.1114,27.84,86,100,2.15,PH,1681355141
52,bairiki,1.3292,172.9752,31.0,66,75,2.57,KI,1681355141
53,sarangani,5.4033,125.4636,28.4,73,70,2.83,PH,1681355142
54,barcelos,41.5388,-8.6151,9.91,74,91,1.54,PT,1681355142
55,manaure,11.7751,-72.4445,26.8,67,100,6.32,CO,1681355142
56,atuona,-9.8,-139.0333,27.17,69,100,3.82,PF,1681355143
57,cape town,-33.9258,18.4232,16.16,81,75,2.06,ZA,1681355143
58,changtu,42.7788,124.0955,15.58,34,100,3.58,CN,1681355143
59,kalmunai,7.4167,81.8167,28.9,72,9,0.57,LK,1681355144
60,kaitangata,-46.2817,169.8464,11.49,90,100,5.09,NZ,1681355144
61,lasa,46.6166,10.7002,5.76,98,100,1.7,IT,1681354633
62,tiksi,71.6872,128.8694,-19.18,98,99,2.29,RU,1681354552
63,hamilton,39.1834,-84.5333,18.47,56,0,2.06,US,1681354585
64,asau,46.4333,26.4,5.71,92,95,1.8,RO,1681354566
65,lebu,-37.6167,-73.65,12.46,94,35,1.57,CL,1681354960
66,burgos,42.3394,-3.7079,-1.77,100,54,0.0,ES,1681355146
67,teluknaga,-6.0989,106.6381,32.81,75,20,7.2,ID,1681355146
68,ulcinj,41.9294,19.2244,9.12,85,2,2.71,ME,1681355146
69,fairbanks,64.8378,-147.7164,-5.51,76,100,1.53,US,1681354848
70,vila velha,-20.3297,-40.2925,23.3,91,20,1.03,BR,1681354926
71,thinadhoo,0.5333,72.9333,28.27,71,42,1.51,MV,1681355147
72,severo-kurilsk,50.6789,156.125,0.16,98,100,12.3,RU,1681355093
73,mercedes,-34.6515,-59.4307,13.69,59,100,5.07,AR,1681355148
74,qaanaaq,77.484,-69.3632,-17.73,66,0,1.61,GL,1681355148
75,vuktyl,63.8567,57.3094,-15.74,79,92,4.98,RU,1681355148
76,samdari,25.8167,72.5833,30.25,31,70,2.11,IN,1681355149
77,umm kaddadah,13.6017,26.6876,21.8,19,59,8.37,SD,1681355149
78,saratov,51.5667,46.0333,10.97,8,100,1.34,RU,1681355149
79,camocim,-2.9022,-40.8411,24.22,88,60,3.25,BR,1681355095
80,hobart,-42.8794,147.3294,17.92,66,75,2.57,AU,1681355150
81,bredasdorp,-34.5322,20.0403,13.1,71,99,2.71,ZA,1681355134
82,new norfolk,-42.7826,147.0587,17.73,58,69,1.61,AU,1681355150
83,saskylakh,71.9167,114.0833,-8.5,86,100,6.07,RU,1681354557
84,hermanus,-34.4187,19.2345,12.67,66,73,3.05,ZA,1681355081
85,sechura,-5.5569,-80.8222,27.59,71,94,5.32,PE,1681355151
86,sao sepe,-30.1606,-53.5653,19.81,90,82,2.57,BR,1681355152
87,biu,10.6129,12.1946,23.44,19,0,3.13,NG,1681355152
88,roma,43.2128,-75.4557,19.93,65,0,1.54,US,1681354308
89,fehervarcsurgo,47.2935,18.2646,9.71,72,100,2.53,HU,1681355152
90,alice springs,-23.7,133.8833,27.75,30,100,4.63,AU,1681355154
91,padang,-0.9492,100.3543,29.03,66,91,1.18,ID,1681355154
92,esperance,-33.8667,121.9,23.89,47,3,4.6,AU,1681354575
93,luderitz,-26.6481,15.1594,14.22,66,68,4.86,NA,1681355154
94,glenwood springs,39.5505,-107.3248,15.45,80,75,5.14,US,1681355101
95,kudahuvadhoo,2.6708,72.8944,28.11,75,25,3.1,MV,1681355155
96,ende,-8.8432,121.6623,29.96,72,29,0.54,ID,1681355156
97,axim,4.8699,-2.2405,26.36,88,13,3.26,GH,1681355156
98,kabare,-2.4683,28.8242,15.23,94,100,0.31,CD,1681355156
99,zhigalovo,54.8097,105.1578,-1.26,43,42,2.8,RU,1681355156
100,marzuq,14.4,46.4667,19.56,74,62,2.91,YE,1681355157
101,puerto ayora,-0.7393,-90.3518,27.53,89,31,0.89,EC,1681355157
102,gibsons,49.3997,-123.5027,11.18,71,10,1.19,CA,1681355158
103,kuusamo,65.9667,29.1833,-8.98,92,75,2.57,FI,1681355158
104,cabatuan,10.8794,122.486,31.69,55,12,4.2,PH,1681355158
105,lompoc,34.6391,-120.4579,11.03,78,40,8.23,US,1681354456
106,port elizabeth,-33.918,25.5701,16.84,60,0,2.24,ZA,1681355159
107,hithadhoo,-0.6,73.0833,28.35,69,21,1.9,MV,1681355159
108,upernavik,72.7868,-56.1549,-13.45,91,83,1.55,GL,1681355080
109,makarska,43.2969,17.0178,10.78,73,28,4.51,HR,1681355160
110,dikson,73.5069,80.5464,-20.69,92,20,8.68,RU,1681355160
111,tuban,-6.8976,112.0649,29.0,72,100,1.39,ID,1681355161
112,fortuna,40.5982,-124.1573,8.7,73,7,4.02,US,1681354975
